Sex,Country,GL,GBPE,SBD
Female,Iran,45.52,18.76,14.6
Female,Iran,45.02,18.76,14.24
Female,Iran,42.01,19.39,14.91
Female,Iran,41.96,19.63,15
Female,Iran,42.11,19.81,14.86
Female,Iran,42.73,18.57,15.37
Female,Iran,43.32,19.06,14.46
Female,Iran,43.32,19.14,14.76
Female,Iran,40.13,19.08,15.48
Female,Iran,39.02,19.12,15.2
Female,Iran,40.12,20.08,15.92
Female,Iran,40.34,20.69,15.94
Female,Iran,44.32,19.51,14.66
Female,Iran,40.87,19.82,15.41
Female,Iran,41.23,19.85,14.88
Female,Iran,43.4,17.82,14.09
Female,Iran,42.47,18.2,14.27
Female,Iran,44.32,19.56,14.69
Female,Iran,39.8,18.7,14.21
Female,Iran,40.42,19.23,14.16
Female,Iran,40.69,19.74,14.56
Female,Iran,40.03,19.82,14.77
Female,Iran,46.34,18.72,15.08
Female,Iran,46.7,18.86,15.39
Female,Iran,46.53,19.42,15.05
Female,Iran,46.95,19.8,15.02
Female,Iran,41.3,19.02,14.96
Female,Iran,41.12,19.94,15.54
Female,Iran,42.07,20.42,14.83
Female,Iran,43.39,17.72,14.71
Female,Iran,43.62,18.03,14.43
Female,Iran,43.89,18.86,14.47
Female,Iran,40.87,19.06,15.53
Female,Iran,40.73,19.23,15.93
Female,Iran,39.84,20.18,15.78
Male,Iran,47.73,20.83,15.94
Male,Iran,47.47,21.29,16.9
Male,Iran,47.08,21.7,16.51
Male,Iran,43.25,21.8,16.16
Male,Iran,45.15,22.64,16.26
Male,Iran,46.79,19.57,14.52
Male,Iran,47.11,19.99,14.77
Male,Iran,47.46,20.45,15.5
Male,Iran,42.34,20.58,15.07
Male,Iran,42.19,20.79,14.83
Male,Iran,42.98,21.38,15.68
Male,Iran,42.04,21.41,15.27
Male,Iran,41.69,17.84,15.13
Male,Iran,42.1,18.3,15.71
Male,Iran,39.24,18.55,15.22
Male,Iran,42.8,18.61,25.43
Male,Iran,39.92,19.03,15.25
Male,Iran,23.36,11.36,8.39
Male,Iran,24,11.37,8.52
Male,Iran,23.5,11.85,8.43
Male,Iran,48.94,20.28,16.11
Male,Iran,48.46,20.62,17.76
Male,Iran,48.31,20.93,16.58
Male,Iran,48.25,20.96,17.29
Male,Iran,43.12,21.14,17.45
Male,Iran,43.08,21.94,17.09
Male,Iran,44.31,22.26,17.12
Male,Iran,43.66,22.37,16.6
Male,Iran,26.46,11.69,9.4
Male,Iran,27.19,11.82,9.11
Male,Iran,26.33,11.88,9.12
Male,Iran,27.13,11.89,9.55
Male,Iran,24.42,12.22,9.15
Male,Iran,24.01,12.38,8.86
Male,Iran,23.3,12.39,9.44
Male,Iran,25.03,12.51,9.71
Female,Iraq,45.22,19.21,15.51
Female,Iraq,45.45,19.98,14.81
Female,Iraq,45.69,20.08,16.12
Female,Iraq,45.4,20.18,15.71
Female,Iraq,42.23,19.68,15.43
Female,Iraq,42.26,20.18,15.4
Female,Iraq,42.14,20.34,15.29
Female,Iraq,42.46,20.59,15.71
Male,Iraq,46.36,20.72,15.82
Male,Iraq,49.99,21.37,16.26
Male,Iraq,47.44,21.62,16.43
Male,Iraq,48.72,21.88,16.91
Male,Iraq,45.02,21.14,16.5
Male,Iraq,43.75,22.67,16.18
Male,Iraq,44.66,22.72,16.61
Male,Iraq,44.4,22.83,16.37
Female,Turkey,37.19,15.74,12.31
Female,Turkey,37.35,16.36,12.18
Female,Turkey,36.56,16.46,12.3
Female,Turkey,33.74,15.81,12.3
Female,Turkey,34.15,16.07,12.43
Female,Turkey,36.3,16.27,12.17
Female,Turkey,34.94,16.68,12.53
Female,Turkey,43.35,17.78,14.37
Female,Turkey,43.06,18.25,13.48
Female,Turkey,40.32,18.86,14.29
Female,Turkey,42.69,17.57,13.64
Female,Turkey,41.67,17.89,13.75
Female,Turkey,42.92,17.99,13.53
Female,Turkey,39.08,17.64,14.26
Female,Turkey,38.37,18.07,14.53
Female,Turkey,39.71,18.6,14.15
Female,Turkey,42.13,17.2,13.79
Female,Turkey,42.02,17.31,13.96
Female,Turkey,43.27,18.42,14.34
Female,Turkey,39.05,18.45,14.98
Female,Turkey,40.24,18.71,14.33
Female,Turkey,42.3,18.05,13.94
Female,Turkey,42.01,18.31,13.82
Female,Turkey,42.63,18.75,13.96
Female,Turkey,43.3,19.06,13.84
Female,Turkey,38.7,19.04,14.32
Female,Turkey,39.8,19.35,14.65
Female,Turkey,39.9,19.56,14.26
Female,Turkey,39.87,17.44,13.61
Female,Turkey,39.73,17.58,13.7
Female,Turkey,40.15,18.19,13.83
Female,Turkey,36.51,18.17,14.11
Female,Turkey,38.12,18.37,12.68
Female,Turkey,37.7,18.42,14.01
Female,Turkey,38.24,18.87,14.29
Female,Turkey,40,18.6,13.93
Female,Turkey,40.35,18.87,14.17
Female,Turkey,36.37,18.37,14.55
Female,Turkey,37.92,18.71,14.13
Female,Turkey,42.71,18.63,14.11
Female,Turkey,43.64,18.79,14.25
Female,Turkey,43.02,18.98,13.86
Female,Turkey,40.14,19.44,14.52
Female,Turkey,38.85,19.47,15.59
Female,Turkey,40.75,19.67,14.15
Female,Turkey,39.69,19.68,14.31
Female,Turkey,39.04,16.55,13.03
Female,Turkey,39.3,16.62,12.84
Female,Turkey,35.49,16.57,12.91
Female,Turkey,35.6,17.94,12.68
Female,Turkey,36.43,18.03,13.17
Female,Turkey,41.51,17.88,13.22
Female,Turkey,41.89,17.88,13.01
Female,Turkey,37.91,17.63,13.45
Female,Turkey,38.37,18.3,14.1
Female,Turkey,38.46,18.34,13.77
Female,Turkey,43.3,18.72,14.45
Female,Turkey,40.45,18.92,14.68
Female,Turkey,39.28,18.94,15.5
Female,Turkey,39.41,19.8,14.91
Male,Turkey,48.08,19.69,15.14
Male,Turkey,48.71,20.05,15.5
Male,Turkey,44.19,20.02,15.4
Male,Turkey,40.33,17.75,13.29
Male,Turkey,40.64,18.03,13.27
Male,Turkey,37.48,17.23,13.52
Male,Turkey,36.43,17.74,13.55
Male,Turkey,38.16,17.83,13.45
Male,Turkey,37.62,17.9,13.91
Male,Turkey,46.73,19.36,14.82
Male,Turkey,46.41,19.92,15.23
Male,Turkey,43.31,20.2,14.94
Male,Turkey,44.32,18.65,14.63
Male,Turkey,44.29,18.82,14.85
Male,Turkey,45.58,19.46,15.1
Male,Turkey,40.47,18.95,15.07
Male,Turkey,41.07,18.96,14.75
Male,Turkey,41.42,19.42,15.1
Male,Turkey,42.61,19.98,15.23
Male,Turkey,43.22,18.59,14.42
Male,Turkey,44.88,19.28,15.33
Male,Turkey,44.87,19.65,16.03
Male,Turkey,41.5,19.56,15.67
Male,Turkey,41.86,19.7,14.76
